# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkSignRecoverable-16                	   49292	     24355 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49401	     24440 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49138	     24418 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49242	     24422 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49461	     24483 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49287	     24373 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49210	     24389 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49405	     24361 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16                	   49218	     24378 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92187	     13023 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92200	     13034 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92488	     13018 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92418	     13016 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92274	     13021 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92174	     13018 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92233	     13023 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92146	     13074 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92697	     12982 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16       	   92181	     13029 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/islishude/secp256k1	63.376s

# Default inline base/sign matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkSignRecoverable-16             	   45291	     24890 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   49004	     24585 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   48978	     24487 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   49174	     24457 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   48975	     24494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   49065	     24970 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   48915	     25925 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   46405	     25034 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   49137	     24459 ns/op	       0 B/op	       0 allocs/op
BenchmarkSignRecoverable-16             	   49080	     24463 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   92661	     12860 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93489	     12888 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93194	     12851 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93430	     12850 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93259	     12896 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93044	     12872 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   92716	     12925 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93438	     12864 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93553	     12892 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarBaseMultProjective-16    	   93084	     12852 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/islishude/secp256k1	24.298s
